Code,Expiry Date,P/C,Exercise,Bid,Offer,Last,Open Interest
AGLQ88,24/05/2018,Call,0.010,21.335,21.335,0.000,0
AGLT88,24/05/2018,Call,16.500,4.845,4.845,0.000,0
AGLT98,24/05/2018,Put,16.500,0.000,0.000,0.000,0
AGLS78,24/05/2018,Call,17.000,4.345,4.345,0.000,0
AGLS88,24/05/2018,Put,17.000,0.000,0.000,0.000,0
AGLMH8,24/05/2018,Call,17.500,3.845,3.845,0.000,0
AGLMI8,24/05/2018,Put,17.500,0.000,0.000,0.000,0
AGLLT8,24/05/2018,Call,18.000,3.345,3.345,0.000,0
AGLLU8,24/05/2018,Put,18.000,0.000,0.000,0.000,0
AGLNS8,24/05/2018,Call,18.010,3.335,3.335,0.000,260
AGLNT8,24/05/2018,Put,18.010,0.000,0.000,0.000,0
AGLL58,24/05/2018,Call,18.500,2.845,2.845,0.000,0
AGLL68,24/05/2018,Put,18.500,0.000,0.000,0.000,64
AGLNU8,24/05/2018,Call,18.510,2.835,2.835,0.000,0
AGLNV8,24/05/2018,Put,18.510,0.000,0.000,0.000,0
AGLKM8,24/05/2018,Call,19.000,2.345,2.345,0.000,0
AGLKN8,24/05/2018,Put,19.000,0.000,0.000,0.000,110
AGLNW8,24/05/2018,Call,19.010,2.335,2.335,0.000,0
AGLNX8,24/05/2018,Put,19.010,0.000,0.000,0.000,200
AGLKK8,24/05/2018,Call,19.500,1.845,1.845,0.000,0
AGLKL8,24/05/2018,Put,19.500,0.001,0.001,0.000,385
AGLNY8,24/05/2018,Call,19.510,1.835,1.835,0.000,0
AGLNZ8,24/05/2018,Put,19.510,0.001,0.001,0.000,0
AGLJ48,24/05/2018,Call,20.000,1.345,1.345,0.000,56
AGLJ58,24/05/2018,Put,20.000,0.006,0.006,0.000,600
AGLP18,24/05/2018,Call,20.010,1.335,1.335,0.000,0
AGLP28,24/05/2018,Put,20.010,0.007,0.007,0.000,125
AGLFM8,24/05/2018,Call,20.500,0.860,0.860,0.000,110
AGLFN8,24/05/2018,Put,20.500,0.035,0.035,0.000,500
AGLN88,24/05/2018,Call,20.510,0.850,0.850,0.000,25
AGLN98,24/05/2018,Put,20.510,0.035,0.035,0.000,422
AGLEQ8,24/05/2018,Call,21.000,0.430,0.430,0.000,294
AGLER8,24/05/2018,Put,21.000,0.130,0.130,0.000,"1,885"
AGLNK8,24/05/2018,Call,21.010,0.425,0.425,0.000,250
AGLNL8,24/05/2018,Put,21.010,0.130,0.130,0.000,220
AGLF58,24/05/2018,Call,21.500,0.150,0.150,0.000,"1,154"
AGLF68,24/05/2018,Put,21.500,0.345,0.345,0.300,428
AGLNM8,24/05/2018,Call,21.510,0.145,0.145,0.000,0
AGLNN8,24/05/2018,Put,21.510,0.350,0.350,0.000,210
AGLES8,24/05/2018,Call,22.000,0.035,0.035,0.000,509
AGLET8,24/05/2018,Put,22.000,0.705,0.705,0.000,841
AGLNO8,24/05/2018,Call,22.010,0.030,0.030,0.000,152
AGLNP8,24/05/2018,Put,22.010,0.715,0.715,0.000,135
AGLF78,24/05/2018,Call,22.500,0.004,0.004,0.000,"1,200"
AGLF88,24/05/2018,Put,22.500,1.165,1.165,0.000,115
AGLMR8,24/05/2018,Call,22.510,0.004,0.004,0.000,0
AGLMS8,24/05/2018,Put,22.510,1.170,1.170,0.000,320
AGLF98,24/05/2018,Call,23.000,0.000,0.000,0.000,94
AGLFF8,24/05/2018,Put,23.000,1.660,1.660,0.000,140
AGLMT8,24/05/2018,Call,23.010,0.000,0.000,0.000,"3,338"
AGLMU8,24/05/2018,Put,23.010,1.665,1.665,0.000,50
AGLF38,24/05/2018,Call,23.500,0.000,0.000,0.000,30
AGLF48,24/05/2018,Put,23.500,2.160,2.160,0.000,0
AGLMV8,24/05/2018,Call,23.510,0.000,0.000,0.000,0
AGLMW8,24/05/2018,Put,23.510,2.160,2.160,0.000,540
AGLFG8,24/05/2018,Call,24.000,0.000,0.000,0.000,285
AGLFH8,24/05/2018,Put,24.000,2.660,2.660,0.000,55
AGLMX8,24/05/2018,Call,24.010,0.000,0.000,0.000,0
AGLMY8,24/05/2018,Put,24.010,2.660,2.660,0.000,240
AGLF18,24/05/2018,Call,24.500,0.000,0.000,0.000,0
AGLF28,24/05/2018,Put,24.500,3.160,3.160,0.000,4
AGLMZ8,24/05/2018,Call,24.510,0.000,0.000,0.000,0
AGLN18,24/05/2018,Put,24.510,3.160,3.160,0.000,550
AGLFI8,24/05/2018,Call,25.000,0.000,0.000,0.000,55
AGLFJ8,24/05/2018,Put,25.000,3.660,3.660,0.000,0
AGLNQ8,24/05/2018,Call,25.010,0.000,0.000,0.000,0
AGLNR8,24/05/2018,Put,25.010,3.660,3.660,0.000,150
AGLEY8,24/05/2018,Call,25.500,0.000,0.000,0.000,0
AGLEZ8,24/05/2018,Put,25.500,4.160,4.160,0.000,0
AGLFK8,24/05/2018,Call,26.000,0.000,0.000,0.000,0
